"","danceability","energy","key","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","saved"
"152",0.612,0.64,11,-9.43,0.0297,0.00141,0.0212,0.917,0.852,87.84,213227,4,1
"153",0.498,0.647,4,-9.058,0.036,0.322,0,0.361,0.579,130.056,178147,4,1
"154",0.501,0.795,4,-3.319,0.0351,0.0295,0.467,0.0831,0.0986,120.023,389000,4,1
"155",0.49,0.897,2,-4.033,0.0367,0.261,0.69,0.0682,0.96,80.386,113424,4,1
"156",0.542,0.705,9,-7.624,0.037,0.255,0.000125,0.344,0.64,84.92,145107,4,1
"157",0.532,0.622,9,-6.413,0.0512,0.458,0,0.0778,0.796,90.721,146440,4,1
"158",0.764,0.438,5,-8.805,0.0605,0.57,0.0188,0.0843,0.582,101.467,195867,4,1
"159",0.526,0.798,9,-8.164,0.321,0.0803,0.00213,0.54,0.303,168.635,230907,4,1
"160",0.676,0.746,1,-5.856,0.062,0.0128,0.00119,0.098,0.492,127.96,245000,4,1
"161",0.704,0.836,0,-5.26,0.0358,0.0209,0.513,0.226,0.521,119.731,268533,4,1
"162",0.581,0.672,2,-4.129,0.0655,0.0075,0.0152,0.0969,0.329,150.661,152627,4,1
"163",0.446,0.516,2,-5.162,0.0356,0.0105,2.27e-05,0.0991,0.556,156.018,240987,4,1
"164",0.659,0.476,2,-7.704,0.0717,0.703,2.41e-05,0.159,0.926,118.326,178480,4,1
"165",0.375,0.965,5,-3.221,0.165,1.42e-05,0.000233,0.119,0.614,199.881,224200,4,1
"166",0.637,0.626,11,-7.332,0.102,0.0246,0.00608,0.295,0.655,93.447,181293,4,1
"167",0.703,0.845,4,-5.091,0.0509,0.00175,0.907,0.0597,0.686,94.698,148840,4,1
"168",0.752,0.854,4,-5.551,0.0621,0.306,0,0.131,0.895,104.864,174400,4,1
"169",0.533,0.761,7,-10.632,0.0298,0.013,0.829,0.207,0.917,122.777,162187,4,1
"170",0.583,0.738,9,-5.965,0.03,0.437,0,0.251,0.818,80.182,162840,4,1
"171",0.417,0.663,2,-7.382,0.0325,0.128,0,0.0828,0.448,91.214,205773,4,1
"172",0.595,0.451,9,-12.987,0.0288,0.0106,0.929,0.0962,0.779,133.673,174187,4,1
"173",0.71,0.793,2,-4.582,0.158,0.831,0,0.0766,0.877,84.282,123453,4,1
"174",0.574,0.667,5,-5.425,0.0301,0.206,0.352,0.0852,0.546,88.299,226187,4,1
"175",0.496,0.806,0,-6.818,0.041,0.225,0.949,0.124,0.383,143.934,208413,4,1
"176",0.685,0.508,1,-9.254,0.0312,0.0327,0.0796,0.11,0.316,113.012,409627,4,1
"177",0.729,0.324,8,-13.017,0.0393,0.195,0,0.101,0.679,116.855,195267,4,1
"178",0.646,0.368,2,-12.803,0.0497,0.931,0.629,0.0943,0.468,111.719,137000,4,1
"179",0.52,0.0631,5,-17.377,0.034,0.993,0.0519,0.11,0.171,90.42,188012,4,1
"180",0.587,0.958,1,-3.597,0.0398,0.000772,0.0401,0.134,0.737,113.99,314320,4,1
"181",0.617,0.874,0,-7.014,0.0358,0.391,0.363,0.466,0.961,89.596,170640,4,1
"182",0.728,0.671,11,-6.772,0.027,0.307,0.00574,0.109,0.959,131.72,254387,4,1
"183",0.697,0.28,2,-13.259,0.0423,0.295,0.844,0.11,0.187,123.004,260500,4,1
"184",0.294,0.491,7,-11.296,0.0342,0.444,0.787,0.109,0.332,110.367,399747,3,1
"185",0.353,0.692,7,-6.296,0.0602,0.959,0.769,0.247,0.368,75.861,219083,4,1
"186",0.668,0.682,2,-8.545,0.0358,0.426,0.918,0.1,0.836,114.018,272582,4,1
"187",0.43,0.992,8,-1.409,0.0827,0.0051,0.0146,0.0965,0.472,125.965,236427,4,1
"188",0.564,0.936,9,-4.498,0.0657,0.00851,3.27e-05,0.125,0.903,144.971,166573,4,1
"189",0.402,0.92,2,-2.944,0.0408,0.000174,0,0.0807,0.297,139.793,243973,4,1
"190",0.417,0.951,4,-4.652,0.0733,0.00164,3.92e-05,0.219,0.529,160.042,194288,4,1
"191",0.771,0.66,1,-12.247,0.0495,0.0194,0.868,0.259,0.841,132.39,153667,4,1
"192",0.505,0.846,10,-5.871,0.0405,0.0119,0.00246,0.209,0.691,98.986,237840,4,1
"193",0.75,0.925,5,-4.961,0.0407,0.349,0.838,0.197,0.97,123.854,605853,4,1
"194",0.596,0.723,1,-8.212,0.0385,0.0967,0.0752,0.111,0.847,111.269,186200,4,1
"195",0.498,0.717,10,-6.992,0.0382,0.257,0,0.0655,0.948,150.742,177200,4,1
"196",0.417,0.953,4,-4.64,0.0757,0.0015,2.84e-05,0.218,0.508,160.03,194288,4,1
"197",0.632,0.646,9,-11.398,0.0385,0.0177,0.88,0.116,0.671,87.325,219840,4,1
"198",0.769,0.71,9,-5.223,0.0745,0.0884,0.0561,0.0678,0.64,88.788,191553,4,1
"199",0.805,0.521,4,-11.25,0.0584,0.0143,0.845,0.099,0.754,126.143,304507,4,1
"200",0.793,0.703,0,-9.548,0.0581,0.000726,0.88,0.075,0.856,130.27,450800,4,1
"201",0.552,0.531,8,-6.767,0.125,0.656,5.21e-05,0.11,0.324,91.573,275320,4,1
"202",0.603,0.921,5,-3.555,0.0931,0.198,0.00035,0.133,0.816,122.978,145773,4,1
"203",0.282,0.922,1,-3.846,0.261,0.163,0.00488,0.323,0.365,98.879,273137,4,1
"204",0.452,0.579,2,-11.085,0.0476,0.0153,0.893,0.637,0.929,84.615,213760,4,1
"205",0.52,0.963,1,-4.713,0.0783,0.000416,0.791,0.099,0.579,168.545,267273,4,1
"206",0.481,0.541,7,-9.287,0.0385,0.0528,1.35e-05,0.749,0.425,115.532,214547,4,1
"207",0.856,0.695,11,-10.643,0.0387,7.47e-05,0.804,0.0358,0.869,125.107,317773,4,1
"208",0.388,0.278,11,-7.398,0.0436,0.0755,0.000803,0.112,0.23,130.458,276512,3,1
"209",0.736,0.723,1,-7.172,0.0578,0.111,0.523,0.0779,0.54,130.022,243853,4,1
"210",0.568,0.898,8,-8.833,0.0862,0.0285,0.0787,0.484,0.833,110.824,301520,4,1
"211",0.687,0.731,8,-7.774,0.108,0.0293,0.00836,0.163,0.601,110.957,259464,4,1
"212",0.694,0.902,11,-4.705,0.0843,0.211,0.872,0.0785,0.635,90.98,256840,4,1
"213",0.795,0.573,5,-11.846,0.0509,0.321,0.00144,0.113,0.868,125.34,298907,4,1
"214",0.445,0.967,0,-3.347,0.0446,0.0224,0.0452,0.281,0.405,90.611,272347,4,1
"215",0.55,0.631,0,-11.493,0.0385,0.000898,0.18,0.0503,0.908,114.553,229027,4,1
"216",0.279,0.65,1,-8.781,0.0369,0.0858,0.733,0.257,0.265,169.298,332782,5,1
"217",0.435,0.54,5,-8.881,0.0301,0.175,0.91,0.223,0.441,110.201,150227,1,1
"218",0.574,0.796,7,-6.758,0.0342,0.0206,0.165,0.118,0.582,100.808,207552,4,1
"219",0.789,0.807,7,-5.417,0.0504,0.0134,0.27,0.055,0.934,127.996,332827,4,1
"220",0.873,0.374,5,-5.853,0.118,0.686,0.000465,0.143,0.477,100.048,217987,4,1
"221",0.18,0.926,0,-5.328,0.0716,7.14e-06,0.587,0.478,0.46,118.665,221013,4,1
"222",0.411,0.842,8,-6.21,0.038,0.0149,0.00368,0.115,0.509,137.977,251067,4,1
"223",0.222,0.402,2,-12.676,0.034,0.889,0.293,0.0897,0.0829,150.894,285906,4,1
"224",0.646,0.891,8,-2.904,0.0433,0.00445,0.89,0.127,0.106,142.024,229369,4,1
"225",0.35,0.27,6,-14.618,0.0303,0.728,0.0223,0.21,0.0583,109.835,391440,4,1
"226",0.423,0.734,7,-7.789,0.0292,6.63e-05,0.802,0.106,0.328,85.992,185946,4,1
"227",0.718,0.587,6,-9.435,0.038,0.000211,0.0403,0.177,0.423,105.434,250507,4,1
"228",0.568,0.33,5,-16.029,0.0265,0.168,0.546,0.807,0.297,106.142,368533,5,1
"229",0.525,0.523,0,-8.11,0.0372,0.3,0.155,0.309,0.68,152.128,115507,3,1
"230",0.247,0.203,6,-14.055,0.0415,0.415,0.0411,0.0957,0.0363,100.989,293768,4,1
"231",0.629,0.652,9,-7.353,0.104,0.0268,0.0668,0.104,0.279,139.589,329173,4,1
"232",0.352,0.0433,10,-24.963,0.0309,0.882,0.938,0.0985,0.0645,66.549,568947,4,1
"234",0.69,0.699,7,-8.843,0.0423,0.0102,0.674,0.113,0.493,149.033,243227,4,1
"235",0.714,0.283,10,-13.859,0.0869,0.0345,0.84,0.115,0.532,77.558,192560,1,1
"236",0.432,0.822,7,-3.278,0.0389,0.000261,1.73e-05,0.696,0.211,100.062,209093,4,1
"237",0.3,0.816,10,-6.2,0.034,0.0012,0.525,0.219,0.341,170.051,217440,4,1
"238",0.444,0.958,10,-3.866,0.0485,0.00867,0.00652,0.323,0.551,108.478,226400,4,1
"239",0.626,0.782,10,-7.769,0.0313,0.0179,0.05,0.0556,0.917,90.844,179853,4,1
"240",0.7,0.956,11,-7.61,0.0709,0.214,0.747,0.0742,0.795,107.743,492600,4,1
"241",0.581,0.459,3,-14.519,0.0314,0.0398,0.881,0.151,0.315,119.042,177267,4,1
"242",0.464,0.772,2,-5.046,0.0397,0.196,0.0088,0.0716,0.63,107.651,199053,4,1
"243",0.635,0.5,2,-9.233,0.028,0.5,0.239,0.144,0.406,97.011,248957,4,1
"244",0.484,0.425,2,-10.851,0.288,0.338,2.02e-05,0.0429,0.603,197.674,203507,4,1
"245",0.64,0.645,11,-7.047,0.191,0.0175,0.00098,0.111,0.736,157.443,170040,4,1
"246",0.698,0.789,8,-4.936,0.163,0.132,0.0091,0.366,0.492,123.016,368400,4,1
"247",0.393,0.865,10,-2.79,0.0453,0.00228,5.48e-06,0.462,0.372,92.322,188363,4,1
"248",0.765,0.684,9,-11.152,0.185,0.243,5e-06,0.0856,0.754,119.528,155827,4,1
"249",0.676,0.446,5,-11.519,0.0622,0.00337,0.0406,0.114,0.507,150.033,226893,4,1
"250",0.683,0.723,7,-9.794,0.0752,0.187,0.549,0.12,0.319,139.999,594587,4,1
"251",0.574,0.883,6,-4.919,0.0477,0.000862,0.912,0.128,0.659,84.103,221933,4,1
"252",0.72,0.677,0,-10.717,0.0351,0.721,0.00379,0.18,0.867,125.579,171507,4,1
"253",0.423,0.097,6,-16.039,0.0454,0.911,4.57e-05,0.108,0.205,82.305,271200,3,1
"254",0.703,0.717,0,-8.954,0.0448,7.81e-05,0.871,0.0418,0.931,151.903,142693,4,1
"255",0.165,0.816,4,-11.365,0.0369,0.00446,0.88,0.0801,0.657,150.889,94960,4,1
